Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Class,"com.google.gson.ExposeAnnotationExclusionStrategyTest",1,1,1,1,4,0,4,0,1,2,2,0,,1,0,,,,6,1,,,,7,7,0,1,0,6,,64,,,,12,,,,47,,,25,24,5,,,,,,,24,33,20,,,13,,,,,,,,1,1,1,1,,2,0,,14,14,0.11,7,7,7,7
Private Static Class,"com.google.gson.ExposeAnnotationExclusionStrategyTest.MockObject",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,5,,,,0,0,0,0,0,0,,15,,,,4,,,,11,,,10,5,0,,,,,,,5,6,6,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0.00,0,0,0,0
Private Static Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.createFieldAttributes(String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.testDifferentSerializeAndDeserializeField()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,2,3,0,,,,4,1,0,3,4,2,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.testNeverSkipClasses()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,2,0,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.testNeverSkipExplicitlyExposedAnnotatedFields()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,2,3,0,,,,3,1,0,3,4,2,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.testNeverSkipExposedAnnotatedFields()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,2,3,0,,,,3,1,0,3,4,2,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.testSkipExplicitlySkippedFields()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,2,3,0,,,,3,1,0,3,4,2,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.ExposeAnnotationExclusionStrategyTest.testSkipNonAnnotatedFields()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,2,3,0,,,,3,1,0,3,4,2,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"com.google.gson.FieldAttributes",1,1,1,1,11,0,3,8,1,1,1,0,,0,0,,,,10,1,,,,10,10,2,0,0,8,,136,,,,10,,,,34,,,12,11,92,,,,,,,12,23,12,,,11,,,,,,,,1,1,1,1,,1,0,,0,0,2.71,10,10,10,10
Public Constructor,"com.google.gson.FieldAttributes.FieldAttributes(Field)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,0,,,,4,,,1,2,5,,,,3,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.25,1,1,1,1
Method,"com.google.gson.FieldAttributes.get(Object)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,0,,,,3,,,1,1,11,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,3.67,1,1,1,1
Public Generic Method,"com.google.gson.FieldAttributes.getAnnotation(Class<T>)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,0,,,,3,,,1,1,7,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.33,1,1,1,1
